n,algorithm,scenario,k,p,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
500,3,1,6,10,400,20,20,5,1,1,1,37.1374170780182,0.16,-7479.89461876559
1000,3,1,6,10,400,20,20,5,1,1,1,60.5170619487762,0.03,-15045.6969609976
200,1,2,6,10,400,20,20,5,1,1,1,2.80350303649902,0.28,-3458.46944305557
500,1,2,6,10,400,20,20,5,1,1,1,8.48448610305786,0.064,-8413.10744091649
1000,1,2,6,10,400,20,20,5,1,1,1,13.290894985199,0.047,-16832.3972061182
200,2,2,6,10,400,20,20,5,1,1,1,2.9382050037384,0.14,-3163.20395317012
500,2,2,6,10,400,20,20,5,1,1,1,10.3234689235687,0.044,-8069.79624470222
1000,2,2,6,10,400,20,20,5,1,1,1,26.2397530078888,0.034,-16100.8191121336
200,3,2,6,10,400,20,20,5,1,1,1,13.734747171402,0.11,-3422.74583785606
500,3,2,6,10,400,20,20,5,1,1,1,42.8440489768982,0.066,-8395.97580094149
1000,3,2,6,10,400,20,20,5,1,1,1,68.3014409542084,0.045,-16680.2418342432
200,1,1,3,4,100,20,20,5,1,2,1,0.113697052001953,0.04,-1353.13726998068
500,1,1,3,4,100,20,20,5,1,2,1,0.320144176483154,0.034,-3418.78356765567
1000,1,1,3,4,100,20,20,5,1,2,1,0.433840036392212,0.029,-6885.74656094194
200,2,1,3,4,100,20,20,5,1,2,1,0.287231922149658,0.01,-1215.37647280641
500,2,1,3,4,100,20,20,5,1,2,1,0.879647016525269,0.018,-3071.04484088209
1000,2,1,3,4,100,20,20,5,1,2,1,3.86749696731567,0.01,-6185.12429435149
200,3,1,3,4,100,20,20,5,1,2,1,0.460767984390259,0.04,-1353.13726998068
500,3,1,3,4,100,20,20,5,1,2,1,1.57678413391113,0.034,-3418.78356765567
1000,3,1,3,4,100,20,20,5,1,2,1,2.0830659866333,0.029,-6885.74656094194
200,1,2,3,4,100,20,20,5,1,2,1,0.109707832336426,0.065,-1732.04377152036
500,1,2,3,4,100,20,20,5,1,2,1,0.280250072479248,0.056,-4406.06012903833
1000,1,2,3,4,100,20,20,5,1,2,1,0.428851127624512,0.038,-8767.13508318014
200,2,2,3,4,100,20,20,5,1,2,1,0.185504198074341,0.04,-1607.89723838302
500,2,2,3,4,100,20,20,5,1,2,1,0.80185604095459,0.02,-4065.56872645392
1000,2,2,3,4,100,20,20,5,1,2,1,3.83773684501648,0.018,-8144.34516222645
200,3,2,3,4,100,20,20,5,1,2,1,0.523599863052368,0.065,-1732.04377152036
500,3,2,3,4,100,20,20,5,1,2,1,1.4456639289856,0.056,-4406.06012903833
1000,3,2,3,4,100,20,20,5,1,2,1,2.09739208221436,0.038,-8767.13508318014
200,1,1,6,4,100,20,20,5,1,2,1,0.23636794090271,0.03,-1532.86781023688
500,1,1,6,4,100,20,20,5,1,2,1,0.676192045211792,0.03,-3886.80577334534
1000,1,1,6,4,100,20,20,5,1,2,1,0.833770036697388,0.027,-7656.57864998024
200,2,1,6,4,100,20,20,5,1,2,1,0.37599515914917,0.02,-1323.32364010933
500,2,1,6,4,100,20,20,5,1,2,1,1.28456282615662,0.022,-3367.23572380061
1000,2,1,6,4,100,20,20,5,1,2,1,4.02224397659302,0.017,-6768.67932469553
200,3,1,6,4,100,20,20,5,1,2,1,1.19879508018494,0.02,-1509.44399090239
500,3,1,6,4,100,20,20,5,1,2,1,3.03445386886597,0.03,-3895.85688707025
1000,3,1,6,4,100,20,20,5,1,2,1,4.18879890441895,0.034,-7617.80016056641
200,1,2,6,4,100,20,20,5,1,2,1,0.32912015914917,0.06,-1840.62312670605
500,1,2,6,4,100,20,20,5,1,2,1,0.833770036697388,0.052,-4639.54753739206
1000,1,2,6,4,100,20,20,5,1,2,1,1.17784881591797,0.045,-9328.12313240534
200,2,2,6,4,100,20,20,5,1,2,1,0.390954971313477,0.055,-1714.31886767267
500,2,2,6,4,100,20,20,5,1,2,1,1.36834096908569,0.028,-4336.97557706724
1000,2,2,6,4,100,20,20,5,1,2,1,3.8347589969635,0.031,-8713.62867256183
200,3,2,6,4,100,20,20,5,1,2,1,1.52392601966858,0.06,-1841.35712442001
500,3,2,6,4,100,20,20,5,1,2,1,3.72361207008362,0.046,-4666.71170107948
1000,3,2,6,4,100,20,20,5,1,2,1,5.93583512306213,0.042,-9328.21350623192
200,1,1,3,10,100,20,20,5,1,2,1,0.340090990066528,0.065,-2848.35032324584
500,1,1,3,10,100,20,20,5,1,2,1,0.984368085861206,0.06,-7163.75708156002
1000,1,1,3,10,100,20,20,5,1,2,1,1.43416500091553,0.044,-14207.8779902523
200,2,1,3,10,100,20,20,5,1,2,1,0.465754985809326,0.02,-2708.22640041239
500,2,1,3,10,100,20,20,5,1,2,1,1.46907186508179,0.03,-6870.8995419879
1000,2,1,3,10,100,20,20,5,1,2,1,4.61290693283081,0.012,-13655.4897274544
200,3,1,3,10,100,20,20,5,1,2,1,1.99865508079529,0.035,-2843.87796426426
500,3,1,3,10,100,20,20,5,1,2,1,4.52443504333496,0.05,-7201.3104344944
1000,3,1,3,10,100,20,20,5,1,2,1,6.84469699859619,0.044,-14207.8779902523
200,1,2,3,10,100,20,20,5,1,2,1,0.375994920730591,0.05,-3211.4262937206
500,1,2,3,10,100,20,20,5,1,2,1,0.669209957122803,0.072,-8162.40508390434
1000,1,2,3,10,100,20,20,5,1,2,1,0.950459003448486,0.056,-16224.1670252617
200,2,2,3,10,100,20,20,5,1,2,1,0.467748880386353,0.04,-3082.00272280103
500,2,2,3,10,100,20,20,5,1,2,1,1.1180100440979,0.02,-7851.92743654959
1000,2,2,3,10,100,20,20,5,1,2,1,3.54552006721497,0.02,-15603.5301847358
200,3,2,3,10,100,20,20,5,1,2,1,1.80716705322266,0.05,-3211.4262937206
500,3,2,3,10,100,20,20,5,1,2,1,3.47430610656738,0.062,-8111.83395617672
1000,3,2,3,10,100,20,20,5,1,2,1,4.85876798629761,0.056,-16224.1670252617
200,1,1,6,10,100,20,20,5,1,2,1,0.51861310005188,0.22,-3015.80283902914
500,1,1,6,10,100,20,20,5,1,2,1,1.84705996513367,0.204,-7667.90287018463
1000,1,1,6,10,100,20,20,5,1,2,1,3.14658498764038,0.048,-15112.9187178277
200,2,1,6,10,100,20,20,5,1,2,1,0.61834716796875,0.035,-2703.12112360592
500,2,1,6,10,100,20,20,5,1,2,1,2.35130286216736,0.026,-7064.55984819445
1000,2,1,6,10,100,20,20,5,1,2,1,5.865807056427,0.025,-14162.7040430325
200,3,1,6,10,100,20,20,5,1,2,1,2.76560401916504,0.15,-3045.11013081611
500,3,1,6,10,100,20,20,5,1,2,1,9.38501286506653,0.09,-7644.11359133589
