n,algorithm,scenario,k,p,nstart,nsteps,nkeep,equal_weights,opt,balanced,seed,time,error,obj
1000,4,2,6,10,1000,20,10,FALSE,HARD,1, 1,6.48815608024597,0.037,-16099.6930620519
 200,2,1,3, 4,400,20,10,FALSE,HARD,2, 1,0.191488027572632,0.01,-1215.39267583966
1000,2,1,3, 4,400,20,10,FALSE,HARD,2, 1,0.906574964523315,0.009,-6185.07507650915
 200,3,1,3, 4,400,20,10,FALSE,HARD,2, 1,0.361034154891968,0.01,-1215.39267583966
1000,3,1,3, 4,400,20,10,FALSE,HARD,2, 1,1.17154097557068,0.01,-6185.02558181511
 200,4,1,3, 4,400,20,10,FALSE,HARD,2, 1,0.179520130157471,0.01,-1215.39267583966
1000,4,1,3, 4,400,20,10,FALSE,HARD,2, 1,0.537561893463135,0.01,-6185.17623252653
 200,2,2,3, 4,400,20,10,FALSE,HARD,2, 1,0.350774049758911,0.04,-1607.25890154204
1000,2,2,3, 4,400,20,10,FALSE,HARD,2, 1,1.59872698783875,0.018,-8144.34516222645
 200,3,2,3, 4,400,20,10,FALSE,HARD,2, 1,0.49068808555603,0.04,-1607.25890154204
1000,3,2,3, 4,400,20,10,FALSE,HARD,2, 1,1.809161901474,0.018,-8144.34516222645
 200,4,2,3, 4,400,20,10,FALSE,HARD,2, 1,0.185505151748657,0.04,-1607.25890154204
1000,4,2,3, 4,400,20,10,FALSE,HARD,2, 1,0.583440065383911,0.018,-8144.34516222645
 200,2,1,6, 4,400,20,10,FALSE,HARD,2, 1,0.358042001724243,0.135,-1421.11124155429
1000,2,1,6, 4,400,20,10,FALSE,HARD,2, 1,1.53988194465637,0.018,-6769.40213102165
 200,3,1,6, 4,400,20,10,FALSE,HARD,2, 1,0.893610000610352,0.015,-1324.6591359576
1000,3,1,6, 4,400,20,10,FALSE,HARD,2, 1,2.41447377204895,0.016,-6768.69389300145
 200,4,1,6, 4,400,20,10,FALSE,HARD,2, 1,0.401925086975098,0.01,-1325.71675485719
1000,4,1,6, 4,400,20,10,FALSE,HARD,2, 1,1.03774309158325,0.016,-6768.69389300145
 200,2,2,6, 4,400,20,10,FALSE,HARD,2, 1,0.713093996047974,0.05,-1713.92367064294
1000,2,2,6, 4,400,20,10,FALSE,HARD,2, 1,3.61732697486877,0.031,-8711.91880691414
 200,3,2,6, 4,400,20,10,FALSE,HARD,2, 1,1.28523898124695,0.05,-1712.55477064541
1000,3,2,6, 4,400,20,10,FALSE,HARD,2, 1,4.34238719940186,0.032,-8711.96665079083
 200,4,2,6, 4,400,20,10,FALSE,HARD,2, 1,0.429850816726685,0.05,-1712.55477064541
1000,4,2,6, 4,400,20,10,FALSE,HARD,2, 1,1.016282081604,0.031,-8712.05248126486
 200,2,1,3,10,400,20,10,FALSE,HARD,2, 1,0.741572856903076,0,-2714.0667075061
1000,2,1,3,10,400,20,10,FALSE,HARD,2, 1,2.54519295692444,0.01,-13655.3169501117
 200,3,1,3,10,400,20,10,FALSE,HARD,2, 1,1.17844009399414,0,-2714.06670750611
1000,3,1,3,10,400,20,10,FALSE,HARD,2, 1,3.33907103538513,0.01,-13655.3169501117
 200,4,1,3,10,400,20,10,FALSE,HARD,2, 1,0.564491033554077,0,-2714.06670750611
1000,4,1,3,10,400,20,10,FALSE,HARD,2, 1,1.25964593887329,0.01,-13655.3169501117
 200,2,2,3,10,400,20,10,FALSE,HARD,2, 1,1.04420709609985,0.04,-3079.48862617583
1000,2,2,3,10,400,20,10,FALSE,HARD,2, 1,3.38153982162476,0.02,-15603.5301847358
 200,3,2,3,10,400,20,10,FALSE,HARD,2, 1,1.65956211090088,0.04,-3079.48862617584
1000,3,2,3,10,400,20,10,FALSE,HARD,2, 1,3.70608997344971,0.02,-15603.5301847358
 200,4,2,3,10,400,20,10,FALSE,HARD,2, 1,0.507642984390259,0.04,-3079.48862617584
1000,4,2,3,10,400,20,10,FALSE,HARD,2, 1,1.18682599067688,0.02,-15603.5301847358
 200,2,1,6,10,400,20,10,FALSE,HARD,2, 1,1.15057015419006,0.03,-2772.50557699895
1000,2,1,6,10,400,20,10,FALSE,HARD,2, 1,5.01550102233887,0.024,-14169.9903188308
 200,3,1,6,10,400,20,10,FALSE,HARD,2, 1,2.88483309745789,0.025,-2769.47763602875
1000,3,1,6,10,400,20,10,FALSE,HARD,2, 1,6.9064679145813,0.022,-14169.4871840003
 200,4,1,6,10,400,20,10,FALSE,HARD,2, 1,1.46508097648621,0.025,-2769.47763602875
1000,4,1,6,10,400,20,10,FALSE,HARD,2, 1,2.63196110725403,0.022,-14169.4871840003
 200,2,2,6,10,400,20,10,FALSE,HARD,2, 1,1.68948078155518,0.275,-3264.66677902618
1000,2,2,6,10,400,20,10,FALSE,HARD,2, 1,10.5750539302826,0.039,-16096.3642277909
 200,3,2,6,10,400,20,10,FALSE,HARD,2, 1,3.39093208312988,0.165,-3220.91198699502
1000,3,2,6,10,400,20,10,FALSE,HARD,2, 1,12.7415030002594,0.039,-16097.2113082613
 200,4,2,6,10,400,20,10,FALSE,HARD,2, 1,1.51195693016052,0.165,-3220.91198699502
1000,4,2,6,10,400,20,10,FALSE,HARD,2, 1,2.59406304359436,0.039,-16100.995964614
 200,2,1,3, 4,1000,20,10,FALSE,HARD,2, 1,0.476726055145264,0.01,-1215.39267583966
1000,2,1,3, 4,1000,20,10,FALSE,HARD,2, 1,2.14577293395996,0.01,-6185.02558181511
 200,3,1,3, 4,1000,20,10,FALSE,HARD,2, 1,0.873664140701294,0.01,-1215.39267583966
1000,3,1,3, 4,1000,20,10,FALSE,HARD,2, 1,2.98204183578491,0.01,-6185.02558181511
 200,4,1,3, 4,1000,20,10,FALSE,HARD,2, 1,0.442816019058228,0.01,-1215.39267583966
1000,4,1,3, 4,1000,20,10,FALSE,HARD,2, 1,1.35836696624756,0.01,-6185.17623252653
 200,2,2,3, 4,1000,20,10,FALSE,HARD,2, 1,0.941483020782471,0.04,-1607.25890154204
1000,2,2,3, 4,1000,20,10,FALSE,HARD,2, 1,4.20513796806335,0.018,-8144.34516222645
 200,3,2,3, 4,1000,20,10,FALSE,HARD,2, 1,1.18483185768127,0.04,-1607.25890154204
1000,3,2,3, 4,1000,20,10,FALSE,HARD,2, 1,4.48500108718872,0.018,-8144.34516222645
 200,4,2,3, 4,1000,20,10,FALSE,HARD,2, 1,0.468747138977051,0.04,-1607.25890154204
1000,4,2,3, 4,1000,20,10,FALSE,HARD,2, 1,1.41107988357544,0.018,-8144.34516222645
 200,2,1,6, 4,1000,20,10,FALSE,HARD,2, 1,0.829779863357544,0.01,-1325.71675485719
1000,2,1,6, 4,1000,20,10,FALSE,HARD,2, 1,3.68809199333191,0.018,-6769.40213102165
 200,3,1,6, 4,1000,20,10,FALSE,HARD,2, 1,2.1791729927063,0.015,-1324.6591359576
1000,3,1,6, 4,1000,20,10,FALSE,HARD,2, 1,6.21624207496643,0.016,-6768.69389300145
 200,4,1,6, 4,1000,20,10,FALSE,HARD,2, 1,0.983369112014771,0.015,-1324.6591359576
1000,4,1,6, 4,1000,20,10,FALSE,HARD,2, 1,2.34572792053223,0.016,-6768.69389300145
 200,2,2,6, 4,1000,20,10,FALSE,HARD,2, 1,1.66953492164612,0.05,-1712.55477064541
1000,2,2,6, 4,1000,20,10,FALSE,HARD,2, 1,8.88685417175293,0.03,-8711.8937147853
 200,3,2,6, 4,1000,20,10,FALSE,HARD,2, 1,3.11999011039734,0.05,-1712.55477064541
1000,3,2,6, 4,1000,20,10,FALSE,HARD,2, 1,11.5415289402008,0.03,-8711.8937147853
 200,4,2,6, 4,1000,20,10,FALSE,HARD,2, 1,1.06016492843628,0.05,-1712.55477064541
1000,4,2,6, 4,1000,20,10,FALSE,HARD,2, 1,2.4703950881958,0.032,-8711.96665079083
 200,2,1,3,10,1000,20,10,FALSE,HARD,2, 1,1.77425599098206,0,-2714.0667075061
1000,2,1,3,10,1000,20,10,FALSE,HARD,2, 1,6.40073299407959,0.01,-13655.3169501117
 200,3,1,3,10,1000,20,10,FALSE,HARD,2, 1,2.94516015052795,0,-2714.06670750611
1000,3,1,3,10,1000,20,10,FALSE,HARD,2, 1,7.68660688400269,0.01,-13655.3169501117
 200,4,1,3,10,1000,20,10,FALSE,HARD,2, 1,1.27658700942993,0,-2714.06670750611
1000,4,1,3,10,1000,20,10,FALSE,HARD,2, 1,2.80901908874512,0.01,-13655.3169501117
 200,2,2,3,10,1000,20,10,FALSE,HARD,2, 1,2.60687398910522,0.04,-3079.48862617583
1000,2,2,3,10,1000,20,10,FALSE,HARD,2, 1,8.601154088974,0.02,-15603.5301847358
 200,3,2,3,10,1000,20,10,FALSE,HARD,2, 1,4.06875801086426,0.04,-3079.48862617584
1000,3,2,3,10,1000,20,10,FALSE,HARD,2, 1,9.44835710525513,0.02,-15603.5301847358
 200,4,2,3,10,1000,20,10,FALSE,HARD,2, 1,1.32645201683044,0.04,-3079.48862617584
1000,4,2,3,10,1000,20,10,FALSE,HARD,2, 1,2.95882487297058,0.02,-15603.5301847358
 200,2,1,6,10,1000,20,10,FALSE,HARD,2, 1,2.94805002212524,0.04,-2770.59320537845
1000,2,1,6,10,1000,20,10,FALSE,HARD,2, 1,12.1044340133667,0.024,-14169.4911553152
 200,3,1,6,10,1000,20,10,FALSE,HARD,2, 1,7.44268608093262,0.025,-2769.47763602875
1000,3,1,6,10,1000,20,10,FALSE,HARD,2, 1,17.0293068885803,0.023,-14169.1130232852
 200,4,1,6,10,1000,20,10,FALSE,HARD,2, 1,3.33771705627441,0.025,-2769.47763602875
1000,4,1,6,10,1000,20,10,FALSE,HARD,2, 1,5.92111301422119,0.022,-14169.4871840003
 200,2,2,6,10,1000,20,10,FALSE,HARD,2, 1,4.32640886306763,0.21,-3254.67700183085
1000,2,2,6,10,1000,20,10,FALSE,HARD,2, 1,25.6682240962982,0.039,-16096.3642277909
 200,3,2,6,10,1000,20,10,FALSE,HARD,2, 1,8.60114097595215,0.125,-3188.36005166322
1000,3,2,6,10,1000,20,10,FALSE,HARD,2, 1,31.5768909454346,0.039,-16097.2113082613
 200,4,2,6,10,1000,20,10,FALSE,HARD,2, 1,3.23235583305359,0.125,-3188.36005166322
1000,4,2,6,10,1000,20,10,FALSE,HARD,2, 1,6.23460412025452,0.039,-16100.995964614
 200,2,1,3, 4,400,20,10,FALSE,HARD,1, 2,0.210436820983887,0.025,-1208.88484839678
1000,2,1,3, 4,400,20,10,FALSE,HARD,1, 2,0.86368989944458,0.016,-6041.0159211052
 200,3,1,3, 4,400,20,10,FALSE,HARD,1, 2,0.319145917892456,0.02,-1209.23533639791
1000,3,1,3, 4,400,20,10,FALSE,HARD,1, 2,1.1180100440979,0.016,-6041.01592110521
 200,4,1,3, 4,400,20,10,FALSE,HARD,1, 2,0.167550802230835,0.015,-1209.54854439353
1000,4,1,3, 4,400,20,10,FALSE,HARD,1, 2,0.493680000305176,0.016,-6041.01592110521
 200,2,2,3, 4,400,20,10,FALSE,HARD,1, 2,0.40491795539856,0.02,-1602.40993317671
1000,2,2,3, 4,400,20,10,FALSE,HARD,1, 2,1.58078813552856,0.023,-8021.9738014456
 200,3,2,3, 4,400,20,10,FALSE,HARD,1, 2,0.486010789871216,0.02,-1602.40993317671
1000,3,2,3, 4,400,20,10,FALSE,HARD,1, 2,1.67804503440857,0.023,-8021.97380144561
 200,4,2,3, 4,400,20,10,FALSE,HARD,1, 2,0.176528215408325,0.02,-1602.40993317671
1000,4,2,3, 4,400,20,10,FALSE,HARD,1, 2,0.517615795135498,0.023,-8022.05144063549
 200,2,1,6, 4,400,20,10,FALSE,HARD,1, 2,0.350064039230347,0.05,-1317.19884511862
1000,2,1,6, 4,400,20,10,FALSE,HARD,1, 2,1.50497603416443,0.014,-6671.99681138641
 200,3,1,6, 4,400,20,10,FALSE,HARD,1, 2,0.907573938369751,0.055,-1315.01108157016
1000,3,1,6, 4,400,20,10,FALSE,HARD,1, 2,2.48535394668579,0.014,-6671.57441066749
 200,4,1,6, 4,400,20,10,FALSE,HARD,1, 2,0.38055682182312,0.055,-1315.01108157016
1000,4,1,6, 4,400,20,10,FALSE,HARD,1, 2,1.04150986671448,0.014,-6671.57441066749
 200,2,2,6, 4,400,20,10,FALSE,HARD,1, 2,0.629316806793213,0.115,-1724.45461014703
1000,2,2,6, 4,400,20,10,FALSE,HARD,1, 2,3.41437983512878,0.031,-8636.58438041822
 200,3,2,6, 4,400,20,10,FALSE,HARD,1, 2,1.25663995742798,0.04,-1708.6026348832
1000,3,2,6, 4,400,20,10,FALSE,HARD,1, 2,4.41138505935669,0.026,-8636.60179444638
 200,4,2,6, 4,400,20,10,FALSE,HARD,1, 2,0.427856206893921,0.14,-1729.25005583708
1000,4,2,6, 4,400,20,10,FALSE,HARD,1, 2,1.07104182243347,0.026,-8636.76960737972
 200,2,1,3,10,400,20,10,FALSE,HARD,1, 2,0.644277095794678,0.01,-2671.38614939546
1000,2,1,3,10,400,20,10,FALSE,HARD,1, 2,2.59406399726868,0.019,-13563.5384045371
 200,3,1,3,10,400,20,10,FALSE,HARD,1, 2,1.15491199493408,0.01,-2671.38614939546
1000,3,1,3,10,400,20,10,FALSE,HARD,1, 2,3.03089499473572,0.019,-13563.538404537
 200,4,1,3,10,400,20,10,FALSE,HARD,1, 2,0.581444978713989,0.02,-2673.37666328837
1000,4,1,3,10,400,20,10,FALSE,HARD,1, 2,1.20135498046875,0.02,-13564.4429618801
 200,2,2,3,10,400,20,10,FALSE,HARD,1, 2,1.09008502960205,0.03,-3057.59969539196
1000,2,2,3,10,400,20,10,FALSE,HARD,1, 2,3.49565315246582,0.036,-15519.2031886636
 200,3,2,3,10,400,20,10,FALSE,HARD,1, 2,1.58077311515808,0.03,-3058.48590343347
1000,3,2,3,10,400,20,10,FALSE,HARD,1, 2,3.889484167099,0.036,-15519.2031886636
 200,4,2,3,10,400,20,10,FALSE,HARD,1, 2,0.552522897720337,0.07,-3073.61387162349
1000,4,2,3,10,400,20,10,FALSE,HARD,1, 2,1.26062893867493,0.038,-15519.7763042184
 200,2,1,6,10,400,20,10,FALSE,HARD,1, 2,1.13496494293213,0.06,-2723.67753631289
1000,2,1,6,10,400,20,10,FALSE,HARD,1, 2,4.76977586746216,0.018,-14135.9992151562
 200,3,1,6,10,400,20,10,FALSE,HARD,1, 2,2.96395897865295,0.06,-2719.86430435388
1000,3,1,6,10,400,20,10,FALSE,HARD,1, 2,6.34446883201599,0.018,-14136.0228385354
 200,4,1,6,10,400,20,10,FALSE,HARD,1, 2,1.33243680000305,0.06,-2719.86430435388
1000,4,1,6,10,400,20,10,FALSE,HARD,1, 2,2.5580141544342,0.018,-14136.0228385354
 200,2,2,6,10,400,20,10,FALSE,HARD,1, 2,1.89892196655273,0.205,-3151.4830820414
1000,2,2,6,10,400,20,10,FALSE,HARD,1, 2,10.7423899173737,0.033,-16088.0136228879
 200,3,2,6,10,400,20,10,FALSE,HARD,1, 2,3.41287302970886,0.225,-3157.5529145418
1000,3,2,6,10,400,20,10,FALSE,HARD,1, 2,12.610582113266,0.03,-16087.9845403308
 200,4,2,6,10,400,20,10,FALSE,HARD,1, 2,1.22272896766663,0.26,-3188.43849028058
1000,4,2,6,10,400,20,10,FALSE,HARD,1, 2,2.47737598419189,0.035,-16090.8200422951
 200,2,1,3, 4,1000,20,10,FALSE,HARD,1, 2,0.481710910797119,0.025,-1208.88484839678
1000,2,1,3, 4,1000,20,10,FALSE,HARD,1, 2,2.33088898658752,0.016,-6041.0159211052
 200,3,1,3, 4,1000,20,10,FALSE,HARD,1, 2,0.886226177215576,0.025,-1208.88484839678
1000,3,1,3, 4,1000,20,10,FALSE,HARD,1, 2,2.99000406265259,0.016,-6041.01592110521
