n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
150,3,1,3,200,5,0.01,0,400,20,20,5,1,2,2,126.583287000656,0.433333333333333,167.97122018963
400,3,1,3,200,5,0.01,0,400,20,20,5,1,2,2,737.383681058884,0.1,479.944024178037
150,1,2,3,200,5,0.01,0,400,20,20,5,1,2,2,24.642786026001,0.373333333333333,168.249497747751
400,1,2,3,200,5,0.01,0,400,20,20,5,1,2,2,147.108021020889,0.1,479.944024178037
150,2,2,3,200,5,0.01,0,400,20,20,5,1,2,2,25.2054150104523,0.0266666666666667,169.116199220587
400,2,2,3,200,5,0.01,0,400,20,20,5,1,2,2,150.030243873596,0.045,478.707455328474
150,3,2,3,200,5,0.01,0,400,20,20,5,1,2,2,128.554162979126,0.433333333333333,167.97122018963
400,3,2,3,200,5,0.01,0,400,20,20,5,1,2,2,736.930927038193,0.1,479.944024178037
150,1,1,3,200,5,0.01,0,100,20,20,5,1,1,3,5.72269701957703,0.366666666666667,169.257266730854
400,1,1,3,200,5,0.01,0,100,20,20,5,1,1,3,38.6049330234528,0.1625,480.849271802158
150,2,1,3,200,5,0.01,0,100,20,20,5,1,1,3,5.7167329788208,0.06,168.96694886183
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,3,38.7000789642334,0.065,479.317713076636
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,3,29.6967639923096,0.386666666666667,167.475395624935
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,3,189.119683980942,0.35,480.521923585814
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,3,5.64741015434265,0.366666666666667,169.257266730854
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,3,39.1299889087677,0.1625,480.849271802158
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,3,5.84337496757507,0.06,168.96694886183
